diameter,berat,tebal_kulit,kadar_gula,asal_daerah,warna,musim_panen,kualitas
7.75,216.4,0.51,11.1,Kalimantan,oranye,kemarau,Bagus
7.43,237.9,0.43,10.6,Jawa Tengah,kuning,kemarau,Bagus
7.82,195.1,0.6,12.9,Jawa Barat,oranye,hujan,Bagus
8.26,184.9,0.49,13.9,Kalimantan,oranye,hujan,Bagus
7.38,182.2,0.42,10.6,Jawa Barat,oranye,kemarau,Bagus
7.38,183.7,0.47,12.6,Kalimantan,oranye,kemarau,Bagus
8.29,198.5,0.54,11.3,Kalimantan,oranye,kemarau,Bagus
7.88,206.8,0.44,11.5,Jawa Barat,oranye,kemarau,Bagus
7.27,205.5,0.42,11.4,Kalimantan,kuning,hujan,Bagus
7.77,216.5,0.52,11.1,Jawa Barat,kuning,kemarau,Bagus
7.27,200.3,0.52,12.0,Kalimantan,oranye,kemarau,Bagus
7.27,229.1,0.45,11.2,Jawa Tengah,oranye,hujan,Bagus
7.62,194.7,0.45,12.3,Jawa Barat,kuning,kemarau,Bagus
6.54,254.4,0.52,11.9,Kalimantan,kuning,hujan,Bagus
6.64,212.5,0.36,11.8,Kalimantan,oranye,hujan,Bagus
7.22,182.9,0.36,11.1,Jawa Tengah,oranye,hujan,Bagus
6.99,178.6,0.43,11.4,Jawa Barat,kuning,kemarau,Bagus
7.66,209.6,0.48,12.8,Kalimantan,kuning,kemarau,Bagus
7.05,195.5,0.53,12.5,Jawa Tengah,oranye,hujan,Bagus
6.79,214.3,0.65,11.0,Kalimantan,oranye,kemarau,Bagus
8.23,209.5,0.59,12.1,Jawa Barat,kuning,kemarau,Bagus
7.39,198.5,0.48,12.8,Kalimantan,kuning,hujan,Bagus
7.53,183.1,0.5,10.3,Kalimantan,kuning,hujan,Bagus
6.79,169.7,0.4,12.5,Kalimantan,oranye,kemarau,Bagus
7.23,191.1,0.5,11.3,Kalimantan,kuning,hujan,Bagus
7.56,217.1,0.47,12.6,Jawa Tengah,kuning,kemarau,Bagus
6.92,204.3,0.53,11.2,Jawa Tengah,oranye,kemarau,Bagus
7.69,175.1,0.42,10.2,Jawa Barat,kuning,kemarau,Bagus
7.2,203.5,0.55,10.4,Jawa Tengah,oranye,kemarau,Bagus
7.35,207.7,0.65,12.0,Jawa Tengah,kuning,hujan,Bagus
7.2,182.3,0.49,12.3,Jawa Barat,kuning,hujan,Bagus
8.43,203.1,0.54,11.1,Jawa Tengah,kuning,hujan,Bagus
7.49,201.2,0.57,12.6,Jawa Tengah,oranye,hujan,Bagus
6.97,177.1,0.46,10.3,Jawa Barat,oranye,kemarau,Bagus
7.91,207.2,0.52,11.9,Jawa Barat,oranye,kemarau,Bagus
6.89,211.2,0.5,10.8,Jawa Barat,kuning,hujan,Bagus
7.6,221.7,0.51,11.3,Kalimantan,oranye,kemarau,Bagus
6.52,221.1,0.42,12.0,Kalimantan,kuning,kemarau,Bagus
6.84,172.4,0.5,11.1,Jawa Barat,kuning,kemarau,Bagus
7.6,181.2,0.55,11.6,Jawa Barat,oranye,hujan,Bagus
7.87,210.3,0.65,13.0,Jawa Barat,kuning,hujan,Bagus
7.59,210.3,0.6,11.4,Kalimantan,kuning,hujan,Bagus
7.44,210.3,0.72,12.8,Kalimantan,kuning,kemarau,Bagus
7.35,277.1,0.42,10.9,Jawa Tengah,kuning,hujan,Bagus
6.76,211.4,0.59,12.5,Jawa Tengah,kuning,hujan,Bagus
7.14,222.7,0.52,13.4,Jawa Barat,oranye,hujan,Bagus
7.27,219.1,0.72,9.5,Kalimantan,oranye,hujan,Bagus
8.03,213.0,0.42,11.2,Kalimantan,oranye,hujan,Bagus
7.67,193.7,0.42,12.6,Kalimantan,oranye,hujan,Bagus
6.62,215.2,0.44,11.8,Jawa Barat,kuning,kemarau,Bagus
7.66,184.5,0.29,12.4,Jawa Tengah,kuning,kemarau,Bagus
7.31,195.3,0.45,11.4,Jawa Barat,kuning,hujan,Bagus
7.16,190.3,0.42,12.1,Jawa Tengah,oranye,hujan,Bagus
7.81,201.6,0.52,11.8,Jawa Tengah,kuning,kemarau,Bagus
8.02,246.3,0.53,13.2,Jawa Barat,oranye,kemarau,Bagus
7.97,162.7,0.69,12.3,Jawa Tengah,oranye,hujan,Bagus
7.08,213.7,0.6,12.3,Jawa Tengah,oranye,hujan,Bagus
7.35,167.7,0.44,11.6,Kalimantan,oranye,hujan,Bagus
7.67,190.6,0.41,11.5,Jawa Tengah,kuning,hujan,Bagus
7.99,221.8,0.55,11.6,Jawa Barat,oranye,kemarau,Bagus
7.26,201.3,0.37,12.4,Jawa Barat,oranye,hujan,Bagus
7.41,178.4,0.68,11.6,Jawa Tengah,kuning,hujan,Bagus
6.95,185.7,0.62,12.3,Kalimantan,oranye,hujan,Bagus
6.9,213.6,0.45,14.1,Kalimantan,oranye,hujan,Bagus
7.91,185.4,0.33,12.9,Jawa Tengah,oranye,kemarau,Bagus
8.18,204.3,0.64,11.7,Jawa Tengah,oranye,kemarau,Bagus
7.46,200.9,0.49,13.2,Jawa Barat,oranye,kemarau,Bagus
8.0,187.0,0.62,11.6,Jawa Tengah,kuning,hujan,Bagus
7.68,242.9,0.34,10.0,Kalimantan,kuning,hujan,Bagus
7.18,212.7,0.44,11.0,Jawa Tengah,oranye,kemarau,Bagus
7.68,159.5,0.5,10.1,Jawa Barat,oranye,hujan,Bagus
8.27,203.7,0.5,11.6,Jawa Barat,kuning,hujan,Bagus
